Pathway,Pathway Description,Competency Cluster,Competency Cluster Description,Competency,Competency Description,Competency Required Level,Competency Assessment,Competency Attainment Score,Competency Level,Competency Level Description,Competency Level Type,Competency Level Content
,,,,Goal-Setting Exemplars,Identify individuals who are exemplars of personal and professional goals.,Skill,,,Identify Contacts,,Knowledge,
,,,,,,Skill,,,Contact-Research Plan,,Skill,
,,,,,,Skill,,,Outreach Plan,,Skill,
,,Work-Life Integration,,Work-Life Integration Foundation,Describe the concept of integration related to work and career.,Knowledge,,,Work-Life Integration Definition,,Knowledge,
,,,,,,Knowledge,,,Challenges of Work-Life Integration,,Knowledge,
,,,,Work-Life Integration Process,Describe the process of integrating personal and professional life.,Knowledge,,,Work-Life Integration Key Concepts,,Knowledge,
,,,,,,Knowledge,,,Diagram the Process,,Knowledge,
,,,,Work-Life Integration Application,Apply the integration of professional and personal goals.,Skill,,,Work-Life Integration Plan,,Skill,
,,,,,,Skill,,,Plan Evaluation,,Skill,
,,Continuous Learning & Personal Development,,Self-Determination,"Explain how to build self-determination through developing competence, autonomy, and relatedness.",Knowledge,,,Self-Determination and Competence,,Knowledge,
,,,,Continuous Learning,Define how continuous learning works.,Skill,,,Continuous Learning Key Concepts,,Knowledge,
,,,,,,Skill,,,Achievement Through Continuous Learning,,Skill,
,,,,Learning Principles in Goals,Apply learning principles to develop personal goals and career planning.,Skill,,,Learning Process Key Elements,,Knowledge,
,,,,,,Skill,,,Continuous Learning Challenges,,Knowledge,
,,,,,,Skill,,,Apply Principles in Life Planning,,Skill,
,,,,Lifelong Learning Plan,Illustrate a lifelong learning plan to help achieve goals.,Skill,,,Lifelong Learning in Life Planning,,Skill,
,,Develop Mentoring Relationships,,Mentorship Concepts,Define the key concepts of mentorship.,Knowledge,,,Key Concepts for Mentorship,,Knowledge,
,,,,Importance of Mentorship,Explain why mentorship is important.,Knowledge,,,Using Mentorship in Achieving Goals,,Knowledge,
,,,,Mentorship Development Process,Summarize the process for developing mentorship.,Knowledge,,,Developing Mentor Relationships,,Knowledge,
,,,,Finding Mentors,Identify potential mentors.,Skill,,,Identify Potential Mentors,,Skill,
,,,,Mentor Recruitment,Enlist mentors who will help in achieving goals and plans.,Skill,,,Create Scripts for Enlisting Mentors,,Skill,
,,,,,,Skill,,,Contact Potential Mentors,,Skill,
,,,,,,Skill,,,Interactions with Mentors,,Skill,
,,,,Become a Mentor,Identify opportunities to mentor others.,Skill,,,Why Mentoring Others Is Important,,Knowledge,
,,,,,,Skill,,,Opportunities for Mentoring Others,,Knowledge,
,,,,,,Skill,,,Achieve Goals By Mentoring Others,,Skill,
,,Building a Network,,Define Networking,Define networking and its role in life planning.,Knowledge,,,Key Networking Concepts,,Knowledge,
,,,,,,Knowledge,,,Network & Mentor Relationships,,Knowledge,
,,,,Networking Process,Describe the process of creating a network.,Skill,,,Dos and Don'ts of Networking,,Knowledge,
,,,,,,Skill,,,Application of Networking Concepts,,Skill,
,,,,Network Planning,Identify who and what kind of individuals to build into your network.,Knowledge,,,Importance of Building a Network,,Knowledge,
,,,,,,Knowledge,,,Process of Building a Network,,Knowledge,
,,,,,,Knowledge,,,Network Development Plan,,Skill,
,,,,,,Knowledge,,,Enact Networking Plan,,Skill,
,,,,Network Creation,Build and maintain a personal and professional network.,Skill,,,Apply Networking Principles,,Skill,
,,,,,,Skill,,,Maintaining a Network,,Knowledge,
,,,,,,Skill,,,Network Expansion Plan,,Skill,
Aspire  Platform,Learn how to use the Aspire  competency-based upskilling platform.,Aspire  Foundation,,Competency Components,Describe & define competency components.,Knowledge,a4g65sa43sdg56b4383rs1,,Define competency,,Knowledge,"<h2>Define Competency</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn about competencies. By the end of the section, you should be able to define what competency is and its primary components.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Read the following text about competencies:</p>
<p>Aspire  Ability <span style=""font-weight: 400;"">defines a competency as an area of capability. While the granularity of a competency is flexible (and the subject of much debate), our rule of thumb is that a competency generally manifests as a bullet-pointed item on a job description.</span></p>
<p>Competencies are the foundational elements of what allows a person to perform in a job or complete a task.</p>
<p>Competencies are made up of three components: Knowledge, Skill, and Ability. Information about Knowledge, Skill, and Ability, or (KSAs), can be found in the ""Define Knowledge, Skill, &amp; Ability"" learning activity.</p>
<h3>Review</h3>
<p>You should now be able to define what a competency is and where it fits, particularly in relation to doing a job.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>If you have not already done so, go through the ""Define Knowledge, Skill, &amp; Ability"" learning activity to deepen your understanding of the foundational elements of a competency.</p>
</div>"
,,,,,,Knowledge,,,"Define knowledge, skill, & ability",,Knowledge,"<h2>Define Knowledge, Skill, &amp; Ability</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn about the difference between knowledge, skill, and ability and the differences between them.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Read the following text about competencies:</p>
<p>Knowledge, Skills, and Abilities are what make up a competency. A competency can be defined at either the Knowledge (K), Skill (S), or Ability (A) level, so it is important to understand the distinct differences between each.</p>
<p>&nbsp;</p>
<p><strong>Knowledge -</strong>&nbsp;<span style=""font-weight: 400;"">The foundational proficiency level for a competency. It includes the capacity to define, recognize, and describe the foundational principles and concepts related to a competency.</span></p>
<p><em><span style=""font-weight: 400;"">Example: I can explain that gravity is the invisible force that keeps us grounded.</span></em></p>
<p>&nbsp;</p>
<p><strong>Skill -&nbsp;</strong><span style=""font-weight: 400;"">The capacity to apply and analyze the knowledge, tools, and processes related to a competency. Someone with skill is a proficient operator and implementer of a competency.</span></p>
<p><em><span style=""font-weight: 400;"">Example: I can perform simple calculations to determine the force with which gravity is pulling something to the earth.</span></em></p>
<p>&nbsp;</p>
<p><strong>Ability -</strong></p>
<p><span style=""font-weight: 400;"">Capacity to synthesize the knowledge and skill related to a competency. Someone with ability is a leading implementer, coach and mentor, and thought leader related to the Competency.&nbsp;</span></p>
<p><em><span style=""font-weight: 400;"">Example: I can teach others how to calculate how quickly a football will hit the ground after leaving my hand if I throw it upward at a 30&deg; angle at approximately 26 miles per hour.</span></em></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">A competency can be required at any of these three levels, depending on the given context.</span></p>
<h3>Review</h3>
<p>You should now be able to explain the difference between knowledge, skill, and ability, and the implications of each in a competency-based context.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Make a list of the competencies you make use of on a daily basis. Once you have created this list, go back through it and think of the context for each. Based on the context of each, indicate whether you feel you need the knowledge, skill, or ability level of each competency.</p>
</div>"
,,,,Digital Credentials,Explain digital credentials.,Knowledge,,,Explain digital credentials,,Knowledge,"<h2>Explain Digital Credentials</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn about digital credentials. By the end of the section, you should be able to talk about what a digital credential is, and give a high-level overview of how they work.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Read the following text about digital credentials:</p>
<p><span style=""font-weight: 400;"">A digital credential is a standards-based, digital representation of an organization&rsquo;s competency assertion about an individual. Organizations can issue digital credentials at whatever level of granularity they see fit. However, Aspire  Ability strongly believes that digital credentials should have stand-alone value for individuals and employers when determining an individual&rsquo;s fit for a job. As such, digital credentials should generally be issued at the Competency and Competency Cluster levels.</span></p>
<p><span style=""font-weight: 400;"">Digital Credentials can be &ldquo;stacked&rdquo; to represent relevant competency groupings. Credential issuers determine the relevance of competency groupings.&nbsp;</span></p>
<p>Verifiable claims are the building blocks of a lot of digital credentials today. Any credential following the Open Badges standard will utilize verifiable claims. Credentials with verifiable claims allow you to show proof of your competencies.</p>
<p><strong>Verifiable Claims -</strong> Verifiable claims are digital issuances with metadata that break down who issued the credential and what was done to achieve the credential.</p>
<h3>Review</h3>
<p>You should now be able to explain what a digital credential is and how it is used. If you would like more information regarding digital credentials and the open badge standard, you can get it from one of the following locations.</p>
<ul>
<li><a href=""http://www.imsglobal.org/understanding-digital-credentials"">Understanding Digital Credentials</a></li>
</ul>
<ul>
<li><a href=""https://openbadges.org/"">Open Badges</a></li>
</ul>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Explore sources like <a href=""badgr.com"">Badgr</a> and <a href=""credly.com"">Credly</a> to see the different ways in which digital credentials are being issued and utilized.</p>
</div>"
,,,,,,Knowledge,,,Explain the Learning & Employment Record,,Knowledge,"<h2>Explain the Learning &amp; Employment Record</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn about the new digital credential wallet known as the Learning &amp; Employment Record (LER). You should walk away from this section with the capacity to explain to someone what the LER is, how it is used, and how it works.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Go to <a href=""https://lerhub.org/s/curators/ilr-utilities/GPRNsnPxFn3XE7Qbs"">LER Hub</a> and skim over the LER Overview information. Once you have done so, return to this page and watch the following video. Then go over the information below.</p>
<iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/N_o3TKsyvkI"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
  <div>
   <h4>What is the LER?</h4>
<p>The LER is the up-and-coming digital wallet for digital credentials. Such credentials can be but are not limited to open badges, transcripts, certifications, etc.</p> 
  </div>
  <div>
    <h4>How to use it</h4>
<p>When using the Aspire  Ability Aspire platform, each time you demonstrate competence you will receive a digital credential. Each digital credential will automatically be uploaded to your LER. Eventually, you will be able to add any and all digital credentials you own to your LER.</p>
    <p>When you need to show someone proof of the competencies you possess, you can pick and choose which credentials you share with a third party and what you keep private.&nbsp;</p>
  </div>
  <div>
    <h4>How it works</h4>
<p>The LER is your personal credential wallet. You have complete control of how you share your credentials. The LER will follow you through life, allowing you to build your credential portfolio at every turn.</p>
  </div>
<h3>Review</h3>
<p>The Learning &amp; Employment Record is where all of your digital credentials will live. It gives you the ability to share the credentials you want with who you want when you want.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Do a mental inventory of all your digital credentials, including transcripts, degrees, certifications, etc. Now think of how many different places you would have to go to in order to access all of your credentials. Wouldn't it be so much simpler if it all lived in one place? Enter the LER...</p>
</div>"
,,,,Aspire Platform,Describe the Aspire platform.,Knowledge,,,Describe nearskilling,,Knowledge,"<h2>Describe Nearskilling</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn what nearskilling is and why it is important. Nearskilling is the focal point of what Aspire  Ability does, using the Aspire platform.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Read the following text about competencies:</p>
<p>The Aspire  Ability Aspire tool is built on the idea of nearskilling. The nearskilling process is what enables learners to move forward with their current or desired job, as well as in their career as a whole. Understanding what nearskilling is will be an essential piece of knowledge as you move forward with Nearskill. Nearskilling is defined below:</p>
<p>&nbsp;</p>
<p><strong>Nearskilling -&nbsp;</strong>The process of acquiring the competency or competencies that provide the most immediate and substantial step forward in a desired job or career path.</p>
<h3>Review</h3>
<p>Nearskilling is the process that takes you from start to finish in your job and career goals. This is done by helping you acquire the competencies that are the most logical next step for you, based on your goals.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Thinking about the competencies you think you already possess and where you want to end up in your career, list out the competencies you feel you still need to obtain or improve on. Once you have your list, try to identify which competencies you should work on obtaining next based on your new understanding of nearskilling.</p>
</div>"
,,,,,,Knowledge,,,Explain what Aspire does,,Knowledge,"<div>
<h2>Explain What Aspire Does</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>Aspire is a competency-based, personal development and near skilling platform. The Aspire tool enables users to grow nearer to their desired career outcomes by providing job-specific learning pathways and evidence of job-aligned competencies.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>The video below provides a brief overview of the Aspire platform. Watch the video, then make your way to the review section to wrap up what you learn.</p>
<iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/E66g5A6Sujg"" width=""343"" height=""136"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div>
<div id=""review-section"">
<h3>Review</h3>
<p>The video above showed how the Aspire  Ability Aspire platform aids you in nearskilling toward your desired job or career outcome. This is done by providing personalized, job-specific learning pathways. Once you demonstrate the required competencies for a pathway, you are awarded digital, verifiable credentials, which are then added to your personal Learning &amp; Employment Record. Each credential puts you one step closer to proving you are a qualified candidate for your desired job.</p>
</div>
  <div id=""call-to-action-section"">
    <h3>
      Call to Action
    </h3>
    <p>Now that you have an understanding of what Aspire is and how it works, get started with the ""Access"" competency cluster to get started with your Aspire account.</p>
  </div>
</div>"
,,Aspire  Access,,Getting to the Platform,Locate the Aspire platform.,Skill,,,Navigating to NearSkill,,Skill,"<h2>Navigating to NearSkill</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn how to navigate to the Aspire platform.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Type the following URL into your internet browser: <span style=""text-decoration: underline;""><span style=""color: #3366ff; text-decoration: underline;"">nearskill.Aspire ability.com</span></span></p>
<img src=""https://lh3.googleusercontent.com/H6lSu8pdrSmdvyzrkyFA9tRhV-EuiSqj35XVYev3_P_X9SjJ3G_iIVjpGO6tQKfLA0L39Rr7zoMWZhppRCRtabYhFFwre0avYyTnOWZEMKiBdbmhfrqzv_293u2BIAxedMBjlPGAtQ=w2400"" width=""500"" /></div>
<div>&nbsp;</div>
<p>You should now be able to log in, or create an account if you do not already have one.</p>
<div id=""review-section"">
<h3>Review</h3>
<p>You should now be able to make your way to the Aspire platform.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Once you are ready, head over to the section about logging in and out to get started with NearSkill.</p>
</div>"
,,,,Login and Logout,Describe how to access the platform online.,Skill,,,Log in and out of NearSkill,,Skill,"<h2>Log In &amp; Out of NearSkill</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn how to navigate to log in and log out of the Aspire platform.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>At this point, you should be at the login page for NearSkill.</p>
<p>To <strong>log in</strong> to the platform, enter your Aspire associated email and password. If you don't already have an account, click ""Create an Account."" If you forgot your password, click ""Forgot Password?""</p>
<img src=""https://lh3.googleusercontent.com/pMZEmszz9dCBod3d_fX0tusz4MyxryLv8XzwTn2ZEyvgMLVF3ZHe2GiQD-6-ngZYbxxHFTyhoV2133Qtp4wbvQHtEDzIwKFBS-ji3bmNOOUbXh5D_6KwNMkaWkUMFrM5UD26sjioyA=w2400"" width=""300"" /></div>
<div>&nbsp;</div>
<p>Once you have entered your credentials, go ahead and hit the ""Sign In"" button. You should now have access to NearSkill.</p>
<p>To&nbsp;<strong>log out</strong> of the platform, simply click the logo in the top right corner for mobile, or navigate to the menu bar on the left side of the screen for desktop, and select the ""Log Out"" button. This should completely sign you out of your account and return you to the login screen.</p>
<div id=""review-section"">
<h3>Review</h3>
<p>You should be able to log into your Aspire account, giving you access to all of your nearskilling pathways. Additionally, you should know how to log out of your account.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>It's time to read up on how to navigate Nearskill. Head over to the navigation competencies to learn more.</p>
</div>"
,,Aspire  Navigation and Progress,,Navigating Aspire Pathways,Compare and Select Relevant Aspire Pathways.,Skill,,,Browsing Recommended Aspire Pathways,,Skill,"<h2>Browsing Aspire Pathways</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn how to navigate your suggested Aspire learning pathways and select the best pathway for you.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Aspire has a variety of nearskilling pathways to aid you in achieving your career goals and obtaining the competencies you need. Based on your preferences and goals, Aspire will suggest pathways it thinks will be most beneficial to your nearskilling plan.</p>
<h4>Step 1</h4>
<p>Browse the suggested pathway library.</p>
<img src=""https://lh3.googleusercontent.com/t0gKE-tfwE7NE1MGckInIf-IBpH9UhBEG9Usyncohrom5dAeTNjCZzTxb_LOkqONHcQ5tcQjKUr1DGwQyBOydlcCFbZfja5UNG68gyOx5kRH11R6G-z4KfowZmn8Ff8qNL-_ChLMCA=w2400"" width=""300"" /></div>
<div>&nbsp;</div>
<h4>Step 2</h4>
<p>Open up the details of pathways that interest you. Click through the specific competencies in the pathway and see what exactly it is you need to be able to do.</p>
<p><img src=""https://lh3.googleusercontent.com/OgrFX4dZBOETPlR_3IeVCIV98D4wURv36Qej6Lk2-VqS-dBDoVsDRbXwYlfNaDkfG59RCt8t6Lr-GE_HutpKg6FCfInFIvpUd63_C5Emy3oJxMbcV_5pZZBSYg7WISS5bDcmjE0EqQ=w2400"" width=""300"" /></p>
<div>&nbsp;</div>
<h4>Step 3</h4>
<p>When you find the pathway you want to engage in, click the ""Enroll In Job Pathway"" button.</p>
<p><img src=""https://lh3.googleusercontent.com/AHRzzJWhNWEjHVBtvWOC-afv3Ig7EMw8Ez2O7gpqQfnwyKbCtmHpsPRVvCr8tz81MBEXXB1HPf68nOh3oG3ZFhIjyvedgbB8F0thcS7NM1Clc-dptuuZrBsHD1QIrLnHoXMDJwM37w=w2400"" width=""300"" /></p>
<p>&nbsp;</p>
<div id=""review-section"">
<h3>Review</h3>
<p>You should be able to browse learning pathways and enroll yourself in those pathways that best fit your career goals.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Make your way into Aspire and enroll in your first nearskilling pathway.</p>
</div>"
,,,,,,Skill,,,Browsing Additional Aspire Pathways,,Skill,"<h2>Browsing Aspire Pathways</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn how to navigate your additional Aspire learning pathways and select the best pathway for you.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Aspire gives you the option to enroll in as many nearskilling pathways as you want! If you want to engage in an additional pathway, follow the steps below.</p>
<h4>Step 1</h4>
<p>Browse the complete pathway library. You can filter pathways by job, competency, or company.</p>
<img src=""https://lh3.googleusercontent.com/t0gKE-tfwE7NE1MGckInIf-IBpH9UhBEG9Usyncohrom5dAeTNjCZzTxb_LOkqONHcQ5tcQjKUr1DGwQyBOydlcCFbZfja5UNG68gyOx5kRH11R6G-z4KfowZmn8Ff8qNL-_ChLMCA=w2400"" width=""300"" /></div>
<div>&nbsp;</div>
<h4>Step 2</h4>
<p>Open up the details of pathways that interest you. Click through the specific competencies in the pathway and see what exactly it is you need to be able to do.</p>
<p><img src=""https://lh3.googleusercontent.com/OgrFX4dZBOETPlR_3IeVCIV98D4wURv36Qej6Lk2-VqS-dBDoVsDRbXwYlfNaDkfG59RCt8t6Lr-GE_HutpKg6FCfInFIvpUd63_C5Emy3oJxMbcV_5pZZBSYg7WISS5bDcmjE0EqQ=w2400"" width=""300"" /></p>
<div>&nbsp;</div>
<h4>Step 3</h4>
<p>When you find the pathway you want to engage in, click the ""Enroll In Job Pathway"" button.</p>
<p><img src=""https://lh3.googleusercontent.com/AHRzzJWhNWEjHVBtvWOC-afv3Ig7EMw8Ez2O7gpqQfnwyKbCtmHpsPRVvCr8tz81MBEXXB1HPf68nOh3oG3ZFhIjyvedgbB8F0thcS7NM1Clc-dptuuZrBsHD1QIrLnHoXMDJwM37w=w2400"" width=""300"" /></p>
<p>&nbsp;</p>
<div id=""review-section"">
<h3>Review</h3>
<p>You should be able to browse learning pathways and enroll yourself in those pathways that best fit your career goals.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Browse the complete pathway library and search for additional Aspire pathways you would like to engage in.</p>
</div>"
,,,,Navigating Competencies,Compare and contrast competencies and improve your standing.,Skill,,,Analyze Current vs Required Competencies,,Knowledge,"<h2>Analyze Current &amp; Required Competencies</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn how to analyze the way your current competency profile stacks up against the competencies required for your desired job or career goal.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Aspire shows you where you stand in relation to your competency goals. When viewing a pathway, you can see all of the required competencies for your desired outcome.</p>
<p>On top of each competency layer, you can quickly view whether or not have demonstrated that competency. Those competencies with a checkmark have been demonstrated. Those competencies with an empty circle have not yet been demonstrated.</p>
<img src=""https://lh3.googleusercontent.com/GbjdN4DwDkNk9LacDsLKvXtTcWD_hpl0WV2jBjUwhDoDblzYRvyLsW5tyYadC4AfbwA6vTfrz_4KiYVYq76jmV1LnXGClAa4REPfiN1CLyWyq_F8k8ep0WVr2qta037TZf7Ev5s-eQ=w2400"" width=""300"" /></div>
<div>&nbsp;</div>
<div id=""review-section"">
<h3>Review</h3>
<p>You should be able to interpret where your current competency profile stands relative to where you want to be.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Take a look at where you are in your Aspire pathway in relation to the competencies you have demonstrated and the ones you have yet to acquire.&nbsp;</p>
</div>"
,,,,,,Skill,,,Obtain the Competencies You're Missing,,Skill,"<h2>Obtain The Competencies Your Missing</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will gain the skills you need to use the Aspire platform to obtain the competencies you need for your desired job or career goal.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>In NearSkill, when you are looking at your progression status for a learning pathway, you can a list of competencies, all of which are clearly marked as to whether or not you have demonstrated that competency.</p>
<p>The platform allows you to interact with each competency in order to effectively gain the competencies you still need, as well as to review past learning experiences.</p>
<p>To access the learning activities within a specific competency, simply follow the steps below.</p>
<h4>Step 1</h4>
<p>Select the competency you would like to work on.</p>
<img src=""https://lh3.googleusercontent.com/wWUdtTBJnaJH63-15PVLLwaPQhJbHQ7x4X3DcKFgtrF0UGi04cx11zZ-5hDQOLLp7IuuGYjxzRbZdSks4-03wT77NpNPHN-8jdX7UKubBUswlIAnt8trg5dbbKBVNf9wR1oT7vgO2g=w2400"" width=""300"" /></div>
<div>&nbsp;</div>
<h4>Step 2</h4>
<p>You will be presented with a playlist of learning activities, each one indicating the area of focus and KSA type for that activity. Select the learning activity you would like to engage with.</p>
<p><img src=""https://lh3.googleusercontent.com/2PmMa21bzQgoOXx-CSNRgguNzvMi-vbskZjfAkiWsOaOgeIfNLNMdAriUUlWPZMVIF9S_MFElyVd6hsWxYquL6CBkSAgnw73a2G6D0HXCRgPTWdWxDQJSupA87rinV04karWdSCg0A=w2400"" width=""300"" /></p>
<div>&nbsp;</div>
<h4>Step 3</h4>
<p>At this point, you will be presented with a learning activity. Follow the instructions and utilize the resources within the activity to progress toward further competence in this area.</p>
<p><img src=""https://lh3.googleusercontent.com/5kcGx-2OnJRK1mlIWDmVSKoqBqRer6hAx-CYgmUHGHRrddF0x_zpy5MuInK48RyyBDyt5mGFlQ-W_jLgsXIFp7-JyCFMwAhrqDiB4ATyAUNswPtbYt5_i0-Q8DC69ETiYZguuCKqyQ=w2400"" width=""300"" /></p>
<div>&nbsp;</div>
<div id=""review-section"">
<h3>Review</h3>
<p>This section walked you through the processes of Nearskilling specific competencies by engaging with KSA-specific learning activities.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Go into one of the competencies in your Aspire pathway and begin working on your first learning activity if you have not already done so.</p>
</div>"
